A,አንድ
Spool,ጥል 
Spoon,ጨልፎ ፈሰሰ አደረገ
Spoor,ፋና
Sporadic,አልፎ አልፎ
Sport,ስፖርት እስፖርት
Sportsman,ስፖርተኛ እስፖርተኛ
Spot,ለይቶ ዐወቀ 
Spotless,ንጹሕ
Spotlight,ባውዛ
Spotted,ቡረቡሬ
Spotty,ተለዋዋጭ
Spouse,ባለቤት
Spout,ረጨ 
Sprain,ወለም አለው
Sprawl,ተዘረጋ 
Spray,ውኃ አጠጣ 
Spread,ዘረጋ 
Spree,ዚዜውን በፈንጠዝያ አሳለፈ
Sprig,ቅጠል 
Sprightly,የሚቧርቅ
Spring,ተነሳ 
Sprinkle,ውሃ አርከፈከፈበት 
Sprint,ሸመጠጠ
Sprout,አበቀለ 
Spruce,ተኳኳለ 
Spry,ንቁ
Spume,አረፋ
Spur,ፈረሶች በጫማቸው ተረከዝ ላይ የሚያደርጉት ከብረት የተሰራ መኮርከርያ
Spurious,የሐሰት
Spurn,በዘለፋ መለሰ
Spurt,ጢን አለ 
Sputter,ሲፈናጠቅ ተንጨረጨረ
Spy,ሰለለ 
Squabble,ተነታረከ
Squad,ተነጣይ ጓድ
Squadron,እስኳድሮን
Squalor,መቆሸሽ
Squander,አባከነ
Square,ማእዘን አወጣ 
Squash,ጨፈለቀ 
Squat,ቁጢጥ አለ
Squawk,ጮኸ
Squeak,ሲጢጥ አለ
Squeaky,ሲጢጥ የሚል
Squeal,ተንጫጫ 
Squeamish,አዘገነነው
Squeeze,ጨመቀ 
Squelch,ወዲያውኑ ዝም አሰኘ
Squirm,ተርመሰመሰ
Squirrel,ሽኮኮ
Squirt,ፍጣቂ
Stab,ወጋ 
Stability,ጽናት 
Stabilize,ወሰነ 
Stable,ጋጥ 
Stack,ከመረ 
Stadium,እስታድየም
Staff,ዘንግ 
Stag,አጋዘን
Stage,አሳየ 
Stagger,አንገዳገደ 
Staggering,የሚያንገዳግድ 
Stagnant,የትኛ 
Stagnate,ሸተተ 
Stain,አቆሸሸ 
Stair,ደረጃ
Staircase,ደረጃዎች
Stairway,ደረጃ
Stake,መወጣጫ ተከለ 
Stale,ደረቀ 
Stalemate,የምይግባቡበት ደረጃ ላይ ደረሱ
Stalk,አገዳ
Stall,ዛሬ ነገ እያለ አቆየ 
Stallion,ፈረስ
Stalwart,ደኅና ሰውነት ያለው 
Stamina,ብርታት
Stammer,ተንተባተበ
Stamp,አተመ 
Stampede,የቀንድ ከብቶች በንድገት መበርገግና መፈርጠጥ
Stand,አቆመ 
Standard,ሥነ ስርዓት 
Standardize,ወሰነ 
Standing,ደረጃ
Standoffish,ሰው የማይቀርብ ሰው የማይወድ
Standpoint,አቋም
Standstill,ተቋረጠ
Staple,ዋና ሰብል 
Star,የኮከብ ምልክት አደረገበት 
Starch,አሚዶ አደረገበት 
Stare,ፍዝዝ ብሎ
Stark,ሙሉ በሙሉ
Start,ጀመረ 
Startle,አስደነገጠ 
Startling,አስገራሚ
Starve,ምግብ እንዳያገኝ አደረገ 
State,ተናገረ 
Stateless,ዜግነት የሌለው
Stately,ግርማ ያለው
Statement,የሚለው 
Stateroom,ልዩ ክፍል
Statesman,የፖለቲካ ሰው 
Static,የሬድዮን መንጫጫት 
Station,አቆመ 
Stationary,ካለበት ሊነቃነቅ አይችልም 
Stationery,ጽህፈት መሳሪያ መደብር 
Statistics,ስታቲስቲክስ
Statuary,ሓወልቶች
Statue,ሓወልት
Stature,ቁመት 
Status,ሁኔታ 
Status quo,ያለው ሁኔታ
Statute,ደንብ
Staunch,የልብ 
Stave,በሳ 
Stay,አስታገሰ 
Steadfast,ጽኑ
Steady,ቀጥ አድርጎ ያዘለት 
Steak,ጥብስ
Steal,ሰረቀ
Stealth,በስውር መንገድ
Stealthy,ማድባት
Steam,በእንፋሎት አበሰለ 
Steamboat,በእንፋሎት የሚንቀሳቀስ ጀልባ
Steamroller,ዳምጠው
Steel,ታጠቀ ተበራታ 
Steep,ዘፈዘፈ 
Steeple,የደወል ቤት ጣሪያ ጉልላት
Steer,መራ 
Stela,ሐወልት
Stem,አገደ 
Stench,ክርፋት
Stenography,አጭር ጽሕፈት
Step,ረገጠ 
Stepchild,የእንገራ ልጅ
Stepdaughter,የእጀራ ልጅ
Stepfather,የእንጀራ አባት
Stepladder,ድጋፍ ያለው መሰላል
Stepmother,የእንጀራ እናት
Steppe,አውላላ ሜዳ
Stepson,የእንጀራ ልጅ
Sterile,መኻን 
Sterilize,ከጀርም ነጻ አደረገ  
Stern,ኋላ 
Stew,ቀቀለ 
Steward,አስተዳዳሪ 
Stewardess,የአውሮፕላን አስተናጋጅ
Stick,ወጋ 
Sticky,ዝልግልግ
Stiff,ደረቅ 
Stiffen,አጠነከረ 
Stifle,ጸጥ አደረገ 
Stigma,መጥፎ ስም 
Stigmatize,ስም ሰጠ
Still,ዝም አሰኘ 
Stilt,ምርኩዝ
Stimulant,የሚያነቃቃ መጠጥ
Stimulate,አነቃቃ 
Stimulus,የሚገፋፋ ነገር
Sting,ነደፈ 
Stingy,ጨቅ ንፉግ
Stink,ገማ ሸተተ 
Stint,ለገንዘብ ሠሠተ
Stipend,አበል
Stipulate,ገደብ አደረገ
Stir,አነሣሣ 
Stirring,የሚያነቃቃ ስሜት የሚነካ አነሣሽ
Stirrup,እርካብ
Stitch,ሰፋ 
Stock,ሞላ 
Stockade,ምሽግ
Stocking,የእግር ሹራብ
Stockpile,አጠራቀመ
Stocky,ደልዳላ
Stockyard,እንስሳት እስኪሸጡ ድረስ የሚቆዩበት ማጎርያ
Stoke,ቆሰቆሰ
Stole,ያንገት ልብስ
Stomach,ታገሠ 
Stone,ፍሬ አውጥቶ ጣለ 
Stony,ድንጋያማ
Stooge,መሣሪያ
Stool,በርጩማ
Stoop,ጎንበስ አለ 
Stop,አቆመ 
Stopover,መንገድ አረፈ
Stopper,ውታፍ ቡሽ
Storage,መጋዘን ውስጥ ማስቀመጥ 
Store,አስቀመጠ አኖረ 
Storehouse,ግምጃ ቤት 
Storekeeper,ባለሱቅ
Storeroom,መጋዘን
Storied,ባለፎቅ
Stork,እርኩም
Storm,ወረረ 
Stormy,የተፋፋመ
Story,ተረት 
Storyteller,ተረት ተናጋሪ
Stout,ወፍራም 
Stove,ምድጃ
Stow,አስቀመጠ 
Straddle,እግሩን አንፈራርጦ ተቀመጠ 
Straggle,ተለቀቀ
Straight,ቀጥ ያለ 
Straighten,አስተካካለ 
Straightforward,ግልጽ 
Strain,ወጠረ 
Strained,ካንገት በላይ የሆነ 
Strainer,ማጥለያ
Strait,የባህር ወሽመጥ
Strand,ባዶ እጁን አስቀረው 
Strange,እንግዳ 
Stranger,እንግዳ 
Strangle,አንቆ ገደለ 
Stranglehold,አንቆ ያዘ
Strap,በሙጫኛ አሰረ 
Strapping,ጥሩ ቁመና ያለው
Stratagem,የጦር ስልት
Strategic,ለጦር እቅድ ምቹ
Strategy,ዘዴ 
Stratify,በደረጃ ከፋፈለ
Stratosphere,የላይኛው ጠፈር
Stratum,ድርብርብ
Straw,ሣር 
Strawberry,እንጆሪ
Stray,ተለየ 
Streak,ተተኮበ 
Stream,ተንጠፈጠፈ 
Street,መንገድ
Streetcar,ትራም
Strength,ኅይል 
Strengthen,ጉልበት ሰጠ 
Strenuous,አድካሚ 
Stress,ደጋግሞ አሳሰበ 
Stretch,ወጠረ 
Stretcher,ቃሬዛ
Strew,በተነ 
Strict,ጥብቅ 
Stride,በኅይል ተራመደ 
Strident,ቀጭን
Strife,ጠብ
Strike,መታ 
Strikebreaker,የሥራ ማቆሙን ስምምነት የጣሰ
Striker,ሥራ ያቆመ
Striking,ደማቅ
String,ሰካ 
Stringed,ባለ ጭራ
Stringent,በጣም ጥብቅ 
Strip,ላጠ 
Stripe,መሥመር 
Striped,መሥመር ያለው
Strive,ጥሮ ሠራ 
Stroke,ደባበሰ 
Stroll,በእግር ተንሸራሸረ 
Stroller,ወንበር የሚመስል የሕጻናት ጋሪ
Strong,ጠንካራ 
Stronghold,ጠንካራ ምሽግ
Strophe,የግጥም አንቀጽ
Structure,አካል 
Struggle,ታገለ 
Strut,ተወጣጠረ ተንጎራደደ
Stub,ዕንቅፋት መታው 
Stubble,ብር
Stubborn,ሐሳብ ግትር 
Stucco,አሸዋ ግርፍ
Stuck-up,ትዕቢተኛ
Stud,አልፎ አልፎ ተገኘ
Student,ተማሪ
Studio,የመሣያ ክፍል
Studious,ጥናት የሚወድ 
Study,ተማረ 
Stuff,ወተፈ 
Stuffing,የተሞላበት ቅመማ ቅመም
Stuffy,ኩራተኛ 
Stultify,በከንቱ አስቀረ
Stumble,ተደናቀፈ 
Stump,ግራ ገባ 
Stumpy,ኩሩሩ
Stun,ሰማይ ምድሩን አዞረበት 
Stunning,የሚያምር 
Stunt,አቀጨጨ 
Stupefy,አስደነበረ 
Stupendous,የሚያስደንቅ
Stupid,ደደብ 
Stupor,ፈዘዘ 
Sturdy,ጠንካራ 
Stutter,ተንተባተበ
Style,ዘዴ 
Stylish,ቄንጠኛ
Suave,ለስለስ ያለ
Subcommittee,ንኡስ ደርግ
Subconscious,ውስጠ ኅሊና
Subdivide,ከፋፈለ
Subdue,አሸፈነ
Subhuman,ከሰብአዊ ተግባር ውጭ የሆነ 
Subject,አስገበረ 
Subjugate,አስገበረ
Sublet,ለሌላ አከራየ
Sublime,ልብ የሚማርክ
Submarine,ሰርጓጅ መርከብ
Submerge,አለበሰ 
Submissive,ትሑት 
Submit,አቀረበ 
Subnormal,ዝቅ ያለ
Subordinate,የበታች
Subscribe,ሊሰጥ ቃል ገባ
Subscriber,የጋዜጣ ማህበርጠኛ
Subscription,የማህበርጠኝነት ጊዜ 
Subsequent,ከግዜ በኋላ የመጣ በኋላ የደረሰ
Subservient,ተለማማጭ 
Subside,ተጎደለ 
Subsidiary,ቅርጫፍ
Subsidize,የገንዘብ እርዳታ አደረገለት
Subsidy,የገንዘብ እርዳታ
Subsist,በሕይወት ቆየ 
Subsistence,ኑሮ መኖሪያ
Substance,ነገር 
Substandard,ዝቅ ያለ
Substantial,ብዙ 
Substantiate,በማስረጃ አረጋገጠ
Substitute,በ  ፈንታ ጨመረ 
Subterfuge,ምክንያት ብልሃት
Subtle,ረቂቅ 
Subtract,ቀነሰ
Suburb,ከተማ ዳር
Subvention,የገንዘብ እርዳታ
Subversive,የሚያደፈርስ 
Subvert,ገለበጠ 
Subway,መሿለኪያ
Succeed,ተተካ 
Success,የእድል መቃናት 
Successful,የተሳካ 
Successive,ተካታታይ
Successor,ተተከ 
Succinct,እጥርምጥን ያለ 
Succor,እርዳታ አደረገ
Succulent,ብዙ ውሃ አለው
Succumb,አረፈ
Such,እንደዚህ ያለ 
Suchlike,ይህን የመሳሰሉ ነገሮች
Suck,ጠባ 
Sucker,አዲስ የበቀለ ቅርንጫፍ 
Suckle,አጠባ
Suction,መምጠጥ 
Sudden,ያልታሰበ 
Suds,አረፋ
Sue,ክስ አቀረበ ከሰሰ 
Suffer,ታገሰ 
Sufferance,ፈቃድ
Suffice,በቃ 
Sufficiency,የሚበቃ
Sufficient,በቂ
Suffix,ባዕድ መድረሻ
Suffrage,የምርጫ መብት
Suffuse,አዘለ
Sugar,ስኳር 
Sugary,ሱካር በዛበት
Suggest,ሓሳብ አቀረበ 
Suggestion,ያቀረበውን ሓሳብ 
Suit,አስደሰተ 
Suitable,የሚስማማ 
Suitcase,ሻንጣ
Suite,ተከታዮች
Suitor,ከሳሽ 
Sulk,ለንቦጭ ጣለ 
Sulky,አኮረፈ
Sullen,ያኮረፈ 
Sully,አጎደፈ
Sum,ደመረ 
Summary,ፍሬ ነገር 
Summer,በጋ
Summit,እናት
Summon,ጠራ 
Summons,መጥርያ
Sumptuous,ታላቅ
Sun,ፀሓይ ሞቀ 
Sunbeam,የፀሓይ ጨረር
Sunburn,ፀሓይ ያቃጠለው
Sunder,አቋረጠ
Sundial,የፀሓይ መለኪያ
Sundown,የፀሓይ ጥልቀት
Sundry,ልዩ ልዩ
Sunflower,ሱፍ
Sunken,ሰጥሞ የነበረ
Sunlight,የፀሓይ ብርሃን
Sunny,ፀሓያማ 
Sunrise,የፀሃይ መውጣት
Sunset,የፀሓይ ጥልቀት የጀንበር ጥልቀት
Sunshade,ጥላ
Sunshine,የፀሓይ ብርሃን 
Sunstroke,ምች
Sup,እራት በላ
Superb,ግሩም
Supercilious,ተገበዘ
Superficial,ቀላል 
Superfluous,ለጊዜው የሚያስፈልግ አልሆነም
Superintendent,ተቆጣጣሪ
Superior,የበላይ 
Superiority,የበላይነት ስሜት 
Superlative,አበለለጭ ደረጃ
Superman,ላዕለ ሰብ
Supernatural,ከሰብአዊ ባሕሪይ ውጭ የሆነ
Supersede,ተካ 
Superstition,አጉል እምነት
Supervise,ተቆጣጠረ
Supper,እራት
Supplant,በ  ፈንታ ተተካ 
Supple,ቀልጣፋ
Supplement,አሟላ 
Supplementary,በተጨማሪ የሚያገለግል
Suppliant,የልመና
Supplicate,ለመነ
Supply,ሰጠ 
Support,ደገፈ 
Suppose,መሰለው 
Supposition,ምናልባት 
Suppress,ደመሰሰ 
Suppurate,መገለ
Supremacy,ይበልጣል የሚለው ሓሳብ
Supreme,ከፍተኛ 
Surcharge,ተጨማሪ ዋጋ 
Sure,የሚታመን 
Surely,በእርግጥ 
Surety,ዋስ 
Surf,ማዕበል
Surface,አለበሰ 
Surfeit,ከመጠን በላይ
Surge,እየተጋፋ ገባ
Surgeon,ቀዳጅ ሓኪም ቀዶ ጠጋኝ ሓኪም
Surgery,ቀዶ ጥገና ኦፕራሲዮን
Surly,ግልፍተኛ
Surmise,ጠረጠረ
Surmount,ተወጣ 
Surname,የመጨረሻ ስም
Surpass,በለጠ
Surplus,ትርፍ ዕቃ 
Surprise,አስደነቀ 
Surrender,አስረከበ 
Surreptitious,ስውር
Surrogate,ምትክ
Surround,ከበበ 
Surroundings,ባካባቢ ያለ
Surveillance,መቆጣጠር
Survey,ጠቃቀሰ 
Surveyor,ቀያሽ
Survival,መትረፍ 
Survive,ከ  ተረፈ ከ  ዳነ ዛሬም አለ
Survivor,የተረፈ 
Susceptible,ሆደ ባሻ
Suspect,ጠረጠረ ተጠራጠረ 
Suspend,አንጠለጠለ 
Suspender,ማንገቻ
Suspense,ተጨንቆ
Suspension,ተንቀሳቃሽ ድልድይ
Suspicion,ጥርጣሬ 
Suspicious,ተጠራጣሪ 
Sustain,ደገፈ 
Sustenance,ምግብ 
Svelte,ስልክክ ያለ
Swaddle,በጨርቅ ጠቀለለ
Swagger,ተጀነነ
Swallow,ዋጠ 
Swamp,ዋጠ 
Swap,ተለዋወጠ
Swarm,ሞላ 
Swash,ተላጋ
Swat,እሽ አለ
Swatch,ተጠቀለለ
Sway,አወዛወዘ 
Swear,አስማለ
Sweat,አላበው 
Sweater,ሹራብ
Sweaty,አድካሚ
Sweep,ጠረገ 
Sweeper,መጥረግያ
Sweeping,ጭልጥ ያለ 
Sweet,ጣፋጭ ነገር ጣፋጭ ከረሜላ 
Sweetbread,የበግ አንጎል አንጀት ጣፊያን የመሳሰሉ ባንዳንድ ስፋራ ለምግብ የሚን አካል ክፍሎች
Sweeten,አጣፈጠ 
Sweetheart,የከንፈር ወዳጅ
Sweetness,ጣፋጭነት
Swell,ወጠረ 
Swelling,እብጠት
Swelter,ተጨነቀ
Swerve,ዞር አደረገ 
Swift,ፈጣን
Swig,መጎንጨት
Swim,ዋኘ 
Swimsuit,የዋና ልብስ
Swindle,አጭበረበረ አታለለ 
Swine,አሳማ
Swing,አወዘወዘ 
Swipe,መነተፈ
Swirl,ተጥመለመለ
Swish,ሽውሽው አደረገ 
Switch,ገረፈ 
Swivel,ተሽከረከረ
Swoon,አዙሮት ወደቀ 
Swoop,ጅው ብሎ መውደቅ
Sword,ጎራዴ
Sworn,በመሃላ የተሰጠ
Sycamore,ወርካ
Sycophant,አንፏቃቂ
Syllable,ክፍለ ቃል
Syllabus,ሥርዓተ ትምህርት
Symbol,ምሳሌ 
Symbolize,ምሳሌ ነው 
Symmetry,ደልዳላ ቅርጽ
Sympathetic,ሩኅሩኅ
Sympathize,ደገፈ 
Sympathy,ማጽናኛ 
Symposium,ጉባኤ
Symptom,ምልክት
Synagogue,ምኩራብ
Synchronize,አስተካከለ
Syndicate,ማኅበር
Synonym,ተመሳሳይ
Synopsis,መግለጫ
Syntax,አገባብ
Synthesis,ያዋሃደ
Synthetic,ሰው ሰራሽ
Syphilis,ቂጥኝ
Syringe,መርፌ
Syrup,ሹሮፕ
System,ዘዴ 
Systematic,ሥርዓት ያለው 
Systematize,ሥርዓት አወጣ
Tab,ማውጫ
Tabernacle,የጸሎት ቤት 
Table,አስተላለፈ 
Tablet,ሰሌዳ 
Tableware,የገበታ ዕቃ
Taboo,ክልክል
Tabulate,በሰንጠረዥ ዘረዘረ
Tacit,እንዲሁ የሚገባ 
Taciturn,ዝምተኛ
Tack,አያያዝ 
Tackle,የዓሣ ማጥመጃ መሳሪያ
Tact,ብልሃት
Tactful,ብልጠት የተመላበት 
Tactics,ዘዴ 
Tactless,የሚያስቀጣ 
Tadpole,የጓጉንቸር ትል
Tag,የመለያ ምልክት 
Tail,ጅራት 
Tailor,ልብስ ሰፊ
Tailored,የተሰፋ 
Taint,በከለ 
Take,ወሰደ 
Tale,ታሪክ
Talent,ተሰጥኦ 
Talesman,ክታብ
Talk,ተነጋገረ 
Talkative,ለፍላፊ
Tall,ረጅም
Tally,ተስማማ 
Tambourine,ባንድ ወገን ቀዳዳ የተለጠጠበት ዙሪያውን ቃጭል መሳይ የተሰካበት የሙዚቃ መሳሪያ
Tame,ለማዳ አደረገ 
Tamp,ጠቀጠቀ
Tamper,ነካካ 
Tan,አለፋ
Tang,ኮረጥ ያለ መሆን
Tangent,በሰያፍ
Tangerine,መንደሪን
Tangible,የሚታይና የሚጨበጥ
Tangle,ወሳሰበ 
Tank,በርሜል 
Tanker,ጫኝ መርከብ
Tanner,ቆዳ ፋቂ
Tannery,የቆዳ ፋብሪካ
Tantalize,አስጎመጀ
Tantrum,በንዴት ተቆላ
Tap,መታ መታ አደረገ 
Tape,በቴፕ ቀዳ 
Tapestry,ስጋጃ
Tapeworm,ኮሶ
Tar,ሬንጅ
Tardy,ዘግይቶ የመጣ 
Target,ዒላማ
Tariff,ቀረጥ 
Tarnish,አጠቆረ 
Tarry,ዘገየ 
Tart,ኮምጣጣ 
Task,አሰራ 
Taste,ቀመሰ 
Tasteful,የሚጥም
Tasteless,ጣዕም የሌለው
Tasty,ጥሩ
Tatter,ቡትቶ 
Tattered,የተበጣጠሰ
Tattle,አሳበቀ 
Tattoo,ነቀሰ 
Taunt,ሣቀ（በት）
Taut,የተወጠረ
Tax,ቀረጥ አስከፈለ 
Taxi,ታክሲ
Taxpayer,ግብር ከፋይ
Tea,ሻይ
Teach,አስተማረ 
Teacher,መምህር
Teaching,መምህርነት 
Teacup,የሻይ ሲኒ
Team,ቡድን 
Teamwork,ተባብሮ መስራት
Teapot,የሻይ ጀበና
Tear,ቀደደ 
Tease,አሾፈ
Teaspoon,የሻይ ማንኪያ
Teat,ጡት
Technical,የቴክኒክ
Technicality,የረቀቀ አገላለጽ 
Technician,ቴክኒሺያን
Technique,ዘዴ 
Tedious,አሰልቺ
Teem,ተርመሰመሰ
Teenager,ዕድሜው በአስራ ሶስት እና በአስራ ዘጠኝ መካከል ያለ ወጣት
Teethe,ጥርስ አወጣ
Teetotaller,መጠጥ የማይቀምስ ሰው
Telegram,በቴሌግራፍ የሚተላለፍ መልዕክት
Telegraph,ቴሌግራፍ
Telephone,ደወለ 
Television,ቴሌቪዥን
Tell,ነገረ 
Teller,ገንዘብ ከፋይ
Temerity,ደፋርነት
Temper,ጠባይ 
Temperament,ጠባይ
Temperamental,ግልፍተኛ 
Temperance,መጠንን ማወቅ
Temperate,የረጋ 
Temperature,የአየር ሁኔታ 
Temple,ቤተ መቅደስ 
Tempo,ስልት 
Temporal,ዓለማዊ
Temporary,ለጊዜው
Tempt,ገፋፋ 
Temptation,ፈተና 
Ten,ዐሥር
Tenacious,ጥብቅ 
Tenant,ተከራይ 
Tend,ጠበቀ 
Tendency,ዝንባሌ 
Tender,ጨረታ 
Tenderize,በልዩ ልዩ ቅመማት አብስሎ አለሰለሰ
Tendon,ጅማት
Tenement,ቤት
Tenet,አስተምህሮ
Tenfold,አስር እጅ
Tenor,በሙዚቃ ውስጥ ከቀጭን መለስ ከወፍራም ቀጠን ያለ የወንድ ድምጽ
Tense,ጊዜያት 
Tension,መወጠር 
Tent,ድንኳን
Tentative,ጊዜያዊ
Tenth,ዐሥረኛ 
Tenuous,ቀጭን 
Tenure,የስልጣን ዘመን
Tepid,ለብ ያለ
Term,ውል 
Terminal,ጣቢያ 
Terminate,አቋረጠ
Termination,ፍጻሜ
Terminology,የተለዩ ቃላት
Terminus,ተራ
Termite,ምስጥ
Terrace,በረንዳ 
Terrain,መሬት
Terrestrial,የመሬት 
Terrible,ኃይለኛ 
Terrific,ኃይለኛ 
Terrify,አስደነገጠ 
Territorial,የግዛት 
Territory,አገር 
Terror,ሽብር 
Terrorist,ዐመፀኛ
Terrorize,አሸበረ
Terse,ቁርጥ ያለ
Test,ፈተነ 
Testament,ኑዛዜ
Testicle,የብልት ፍሬ
Testify,መሰከረ
Testimonial,ሰዎች የሚሰጡት ምስክርነት
Testimony,ማስረጃ 
Text,ቃል 
Textbook,የመማሪያ መጽሐፍ
Textile,ጨርቃ ጨርቅ
Than,ከ ---
Thank,ምስጋና አቀረበ 
Thankful,የሚያመሰግን
Thankless,ውለታ ቢስ
Thanksgiving,ምስጋና
That,ያን 
Thatch,ከደነ 
Thaw,አቀለጠ 
Theatre,የቲያትር ቤት
Theft,ስርቆት
Their,የነሱ
Theirs,የነሱ
Them,እነሱን
Theme,መልዕክት 
Themselves,ራሳቸው
Then,ያኔ 
Thence,ከዚያ 
Thenceforth,ከዚያ ጊዜ ወዲህ
Theologian,የሃይማኖት ሊቅ
Theology,የሃይማኖት ትምህርት
Theoretical,በኀልዮ ብቻ 
Theory,አስተያየት 
Therapy,ሕክምና
There,እዚያ 
Thereabouts,ወደ 
Thereafter,ከዚያ ወዲህ
Therein,አዚያ ውስጥ 
Thereof,ከሱ
Thereon,እዚያም ላይ
Thereto,ወደዚያ
Thereupon,ያኔ 
Therewith,---ም ጭምር 
Thermometer,የትኩሳት መለኪያ 
Thesis,ጥናታዊ ጽሁፍ
They,እነሱ
Thick,ወፍራም 
Thicken,አወፈረ
Thicket,ጥሻ
Thickness,ውፍረት
Thief,ሌባ
Thigh,ታፋ
Thimble,ቤዛ
Thin,አከሳ 
Thine,የንተው
Thing,ነገር 
Think,አሰበ 
Thinking,አስተያየት
Third,ሦስተኛ 
Thirst,ጠማ（ው） 
Thirteen,አስራ ሶስት
Thirty,ሠላሳ
This,ይህ
Thistle,ኮሽሽላ
Thong,ማለፊያ
Thorn,እሾህ
Thorny,እሾሃማ 
Thorough,ጥንቁቅ 
Thoroughbred,ዘረ መልካም
Thoroughfare,ዋና ጎዳና
Thoroughgoing,ፍጹም የሆነ
Thought,ሐሳብ 
Thoughtful,ደግ አሳቢ 
Thoughtless,ለሰው የማያስብ 
Thousand,ሺህ
Thrall,አገልጋዩ አደረገው
Thrash,መታ 
Thread,ክር አገባ 
Threadbare,ቡትቶ የለበሰ
Threat,ዛቻ 
Threaten,ዛተ（በት） 
Three,ሦስት
Threefold,ሦስት እጥፍ
Thresh,ወቃ
Threshold,መጋቢያ 
Thrice,ሦስቴ
Thrift,ገንዘብን በቁጠባ መያዝ
Thrifty,ቆጣቢ
Thrill,መንፈስ አነቃቃ 
Thriller,የፍርሃት ወይም የመደሰት ስሜትን የሚያመነጭ ጽሁፍ ወይም ፊልም
Thrive,ዳበረ 
Throat,ጉሮሮ
Throb,በኃይል መታ
Throne,በጭንቀት ተያዘ 
Throng,አጥለቀለቀ
Throttle,አንቆ ገደለ 
Through,በ --- በኩል 
Throughout,በ --- ጊዜ ሁሉ 
Throw,ወረወረ 
Thrust,ወጋ
Thumb,መልከት መልከት አደረገ 
Thumbtack,የወረቀት ምስማር
Thump,ድው የሚል ድምጽ
Thunder,አጉረመረመ 
Thunderbolt,የሰማይ መብለጭለጭ
Thunderstorm,ነጎድጓድ
Thus,እንዲህ 
Thwart,አጨናገፈ
Thyme,ጦስኝ
Tiara,የወርቅ
Tibia,የጭን ቅልጥም
Tick,ሰራ 
Ticket,ቲኬት 
Tickle,ኮረኮረ 
Ticklish,በጥንቃቄ ሊያዝ የሚገባው
Tide,አደረሰ 
Tidings,ወሬ
Tidy,አጸዳዳ
Tie,አሰረ 
Tiger,ነብር
Tight,ድብን ብሎ የታሰረ 
Tighten,አጠበቀ
Tile,ጡብ
Till,አረሰ 
Tilt,አዘነበለ 
Timber,እንጨት 
Time,አስተካከለ 
Timeless,የጊዜ ገደብ የሌለው
Timely,ከጊዜው ጋር ተስማሚ
Timetable,ዕቅድ
Timid,ፈሪ 
Timing,የመጠነው ጊዜ
Timorous,ፈሪ
Tin,ቆርቆሮ 
Tinder,ማቀጣጠያ
Ting,ድምጽ አሰማ
Tinge,ላመል አቀለመ 
Tingle,ፈነደቀ 
Tinker,ነካካ
Tinkle,ተንቃጨለ
Tint,ቀባ 
Tiny,በጣም ትንሽ 
Tip,አጋደለ 
Tired,የደከመ
Tireless,የማይታክት 
Tiresome,አድካሚ 
Tissue,የአካል ቁራጭ
Tithe,ዐሥራት
Title,ሰየመ 
Titular,ለስም ብቻ
To,ወደ 
Toad,ጉርጥ
Toast,ጠበሰ 
Toaster,መጥበሻ
Tobacco,ትምባሆ
Today,ዛሬ 
Toe,መስመር ላይ ተንበረከከ 
Toenail,የእግር ጥፍር
Together,አብረው 
Toil,ለፋ
Toilet,ሽንት ቤት
Token,ለስልክ መደወያ ወይም ለአውቶብስ መሄጃ ልክ የሚያገለግል በሳንቲም ልክ የተሰራ ክብ ብረት 
Tolerable,የሚቻል
Tolerance,መታገስ
Tolerant,ቻይ 
Tolerate,አከበረ 
Toll,ተደወለ 
Tomato,ቲማቲም
Tomb,መቃብር
Tombstone,ሐውልት 
Tome,መጽሃፍ
Tomorrow,ነገ
Tone,ለዘብ አደረገ 
Tongs,መቆንጠጫ
Tongue,ምላስ 
Tonight,ዛሬ ማታ
Tonsure,አናቱን ላጨ
Too,በጣም 
Tool,መሣሪያ
Toot,አስጮኸ
Tooth,ጥርስ
Toothache,የጥርስ ህመም
Toothbrush,የጥርስ ብሩሽ 
Toothpaste,የጥርስ ሳሙና
Toothpick,የጥርስ መጎርጎሪያ
Toothsome,እጅ አስቆረጠመ
Top,ሸፈነ 
Topic,ርዕስ
Topography,የመሬት አቀማመጥ
Topple,ገነደሰ 
Topsoil,ከላይ የሚገኘው ለም አፈር
Topsy-turvy,መላ ቅጡ የጠፋ
Torch,ችቦ
Torment,አሰቃየ 
Tornado,ሃይለኛ ቧይት
Torrent,ወራጅ ውሃ
Torrid,በጣም ሞቃት
Tortoise,ኤሊ
Tortuous,ጠምዛዛ 
Torture,አሰቃየ 
Toss,ጣል አደረገ（ለት） 
Tot,ህፃን
Total,ድምር 
Totalitarian,ፍፁማዊ አገዛዝ
Totality,ብዛት
Totem,ለቤተሰብ ወይም ለጎሳ እንደ አርማ የሚያገለግል እንሰሳ ወይም ሌላ ፍጡር
Totter,ተንገዳገደ
Touch,ነካ 
Touching,ልብ የሚነካ
Touchy,በጣም የሚያስቆጣ 
Tough,ጠንካራ 
Tour,ጎበኘ 
Tourist,ጎብኚ
Tournament,ውድድር
Tow,ጎትቶ አመጣ
Toward,ወደ 
Towel,ፎጣ
Tower,ልቆ ታየ 
Town,ከተማ 
Townspeople,የከተማ ሰው
Toxic,መርዘኛ
Toy,አሻንጉሊት
